,Product Name,Product Price,Stars,Number of Reviws,Link
0,Ring Chime,"<span class=""_cDEzb_p13n-sc-price_3mJ9Z"">$34.99</span>",4.6 out of 5 stars,"56,859",https://www.amazon.com//Ring-Chime/dp/B09L45VFCN/ref=zg_bsnr_amazon-devices_1/136-5716688-6315937?pd_rd_i=B09L45VFCN&psc=1
1,"Introducing Amazon eero 6+ dual-band mesh Wi-Fi 6 system, with built-in Zigbee smart home hub and 160MHz client device support (3-pack)","<span class=""_cDEzb_p13n-sc-price_3mJ9Z"">$194.00</span>",4.5 out of 5 stars,294,https://www.amazon.com//Introducing-Amazon-eero-dual-band-support/dp/B08ZK2BHP2/ref=zg_bsnr_amazon-devices_2/136-5716688-6315937?pd_rd_i=B08ZK2BHP2&psc=1
2,Blink Outdoor – 1 camera kit with Blink Mini,"<span class=""_cDEzb_p13n-sc-price_3mJ9Z"">$59.99</span>",4.4 out of 5 stars,"127,482",https://www.amazon.com//Blink-Outdoor-camera-kit-Mini/dp/B09SKN9CDJ/ref=zg_bsnr_amazon-devices_3/136-5716688-6315937?pd_rd_i=B09SKN9CDJ&psc=1
3,"Introducing Amazon eero Pro 6E tri-band mesh Wi-Fi 6E system, with built-in Zigbee smart home hub (3-pack)","<span class=""_cDEzb_p13n-sc-price_3mJ9Z"">$419.00</span>",4.1 out of 5 stars,221,https://www.amazon.com//Introducing-Amazon-eero-tri-band-system/dp/B091G64GVK/ref=zg_bsnr_amazon-devices_4/136-5716688-6315937?pd_rd_i=B091G64GVK&psc=1
4,"Certified Refurbished Fire TV Stick with Alexa Voice Remote (includes TV controls), HD streaming device","<span class=""_cDEzb_p13n-sc-price_3mJ9Z"">$34.99</span>",3.4 out of 5 stars,4,https://www.amazon.com//Certified-Refurbished-Remote-controls-streaming/dp/B08C1RDH7K/ref=zg_bsnr_amazon-devices_5/136-5716688-6315937?pd_rd_i=B08C1RDH7K&psc=1
5,"Introducing Amazon eero Pro 6E tri-band mesh Wi-Fi 6E system, with built-in Zigbee smart home hub (2-pack)","<span class=""_cDEzb_p13n-sc-price_3mJ9Z"">$299.00</span>",4.1 out of 5 stars,221,https://www.amazon.com//Introducing-Amazon-eero-tri-band-system/dp/B091G68F8C/ref=zg_bsnr_amazon-devices_6/136-5716688-6315937?pd_rd_i=B091G68F8C&psc=1
6,"All-new Fire 7 tablet, 7” display, 16 GB, latest model (2022 release), Black","<span class=""_cDEzb_p13n-sc-price_3mJ9Z"">$59.99</span>",3.8 out of 5 stars,19,https://www.amazon.com//Fire-7-Tablet/dp/B096WKKK2K/ref=zg_bsnr_amazon-devices_7/136-5716688-6315937?pd_rd_i=B096WKKK2K&psc=1
7,"Certified Refurbished Blink Outdoor - wireless, weather-resistant HD security camera, two-year battery life, motion detection, set up in minutes – 2 camera kit","<span class=""_cDEzb_p13n-sc-price_3mJ9Z"">$159.99</span>",4.3 out of 5 stars,170,https://www.amazon.com//Blink-Outdoor-Camera-System-Wireless/dp/B086DKVS1N/ref=zg_bsnr_amazon-devices_8/136-5716688-6315937?pd_rd_i=B086DKVS1N&psc=1
8,"Introducing Amazon eero Pro 6E tri-band mesh Wi-Fi 6E router, with built-in Zigbee smart home hub","<span class=""_cDEzb_p13n-sc-price_3mJ9Z"">$179.00</span>",4.1 out of 5 stars,221,https://www.amazon.com//Introducing-Amazon-eero-tri-band-router/dp/B091G65HH6/ref=zg_bsnr_amazon-devices_9/136-5716688-6315937?pd_rd_i=B091G65HH6&psc=1
9,2 Year Accident Protection Plan for Fire 7 Tablet (2022 release),"<span class=""_cDEzb_p13n-sc-price_3mJ9Z"">$7.99</span>",Not Provided,Not Provided,https://www.amazon.com//Year-Accident-Protection-Plan-Tablet/dp/B096WH36VF/ref=zg_bsnr_amazon-devices_10/136-5716688-6315937?pd_rd_i=B096WH36VF&psc=1
10,"Introducing Amazon eero 6+ dual-band mesh Wi-Fi 6 system, with built-in Zigbee smart home hub and 160MHz client device support (2-pack)","<span class=""_cDEzb_p13n-sc-price_3mJ9Z"">$155.00</span>",4.5 out of 5 stars,294,https://www.amazon.com//Introducing-Amazon-eero-dual-band-support/dp/B08ZK3D89L/ref=zg_bsnr_amazon-devices_11/136-5716688-6315937?pd_rd_i=B08ZK3D89L&psc=1
11,"All-new Fire 7 tablet, 7” display, 16 GB, latest model (2022 release), Denim","<span class=""_cDEzb_p13n-sc-price_3mJ9Z"">$59.99</span>",3.8 out of 5 stars,19,https://www.amazon.com//Fire-7-Tablet/dp/B096WJQNZ4/ref=zg_bsnr_amazon-devices_12/136-5716688-6315937?pd_rd_i=B096WJQNZ4&psc=1
12,"All-new Fire 7 tablet, 7” display, 16 GB, latest model (2022 release), Rose","<span class=""_cDEzb_p13n-sc-price_3mJ9Z"">$59.99</span>",3.8 out of 5 stars,19,https://www.amazon.com//Fire-7-Tablet/dp/B0973RCKXC/ref=zg_bsnr_amazon-devices_13/136-5716688-6315937?pd_rd_i=B0973RCKXC&psc=1
